Date,Num1,Num2,Num3,Num4,Num5,Num6,Addl
15/04/23,8,12,14,42,47,53,
12/04/23,5,10,24,32,50,54,50
09/04/23,3,19,35,47,50,53,
08/04/23,16,23,27,38,39,49,39
05/04/23,4,29,32,39,41,48,
02/04/23,11,13,15,28,34,37,
01/04/23,4,18,46,48,50,55,
29/03/23,16,20,29,34,38,44,38
26/03/23,22,28,36,38,45,46,
25/03/23,8,19,24,49,51,52,52
22/03/23,6,11,21,39,50,52,"11,21"
19/03/23,8,11,21,28,45,51,8
18/03/23,5,8,42,46,52,53,"5,53"
15/03/23,5,41,47,48,49,53,"41,48"
12/03/23,7,13,17,23,41,48,13
11/03/23,13,14,15,24,38,46,24
08/03/23,2,8,24,39,50,54,
07/03/23,9,13,21,42,49,53,49
05/03/23,6,8,19,29,45,49,
04/03/23,5,10,21,36,41,43,"5,36"
01/03/23,5,14,15,32,36,52,"15,32"
26/02/23,3,8,9,15,32,45,
25/02/23,14,20,25,33,37,50,
22/02/23,13,29,35,48,53,54,"13,35"
19/02/23,13,18,31,35,37,38,38
18/02/23,3,12,38,44,47,52,38
15/02/23,2,19,37,38,43,50,
12/02/23,16,29,40,41,46,52,"41,52"
11/02/23,30,31,38,41,48,52,41
08/02/23,27,33,41,42,43,50,41
05/02/23,21,24,41,47,48,53,
04/02/23,10,17,22,25,37,49,
01/02/23,9,20,24,34,45,53,24
31/01/23,3,17,24,35,47,52,24
29/01/23,24,26,33,34,40,53,"33,53"
28/01/23,5,10,15,27,33,53,"10,27"
25/01/23,2,10,19,24,27,28,
24/01/23,16,22,35,40,49,51,
22/01/23,7,14,36,43,44,50,
21/01/23,10,17,22,25,37,38,"10,22"
18/01/23,10,16,21,22,40,45,45
15/01/23,8,17,25,28,44,45,
14/01/23,3,15,35,36,42,49,42
11/01/23,19,24,31,32,42,53,24
08/01/23,4,8,12,24,33,38,"24,33"
07/01/23,13,24,30,33,54,55,24
04/01/23,9,10,24,26,28,31,"9,31"
01/01/23,5,9,11,15,31,53,
31/12/22,6,12,21,28,45,48,21
28/12/22,5,16,19,21,33,39,
27/12/22,9,24,28,31,37,40,
